brand,country,medium,headline,industry
Sonora,Chile,Print,is this how you are listening to your music,Media & Publishing
Skoda,Poland,Print,skoda superb with automatic dsg gearbox,Automotive & Services
Audi,Portugal,Print,new audi q5 now available with adaptive air suspension as an option,Automotive & Services
Mercedes-Benz,Brazil,Print,mercedesbenz sprinter van plenty of room,Automotive & Services
Thane Festival 2019,,Print,come with an extra set of sensory organs,"Culture, Recreation & Sport"
Amnesty International,Hungary,Print,the only witness wont talk women suffering from domestic violence need your help,Public interest & Non-profit
Denver Water,United States,Outdoor,picasso reused old canvases too waste is out use only what you need,Industrial & Agricultural
Surfrider Foundation,France,Print,help us to keep the sea clean,Public interest & Non-profit
Dunkin' Donuts,United States,Print,incredibly warm and toasty oventoasted hash browns,Food & Beverages
Funky Cold Medina,Argentina,Print,funky cold medina streetwear on sale,"Apparel, Clothing, Footwear & Accessories"
Espace Culturel,France,Outdoor,culture in everyday life,Retail & Distribution
Louie Louie Record Store,Portugal,Print,chemistry a metter of music,Retail & Distribution
Boots,Thailand,Print,for sexier knees,Beauty & Health
Renault,Israel,Print,renault koleos the new french offroad vehicle,Automotive & Services
,Romania,Print,movies need music kiss fm supports transilvania international film festival,Media & Publishing
WMF,Germany,Print,sharper than you think the wmf grand gourmet knife with damasteel blade,"House, Garden & Pets"
Huggies,Italy,Print,you woke up at midnight like a baker at 3 oclock like a fisherman at 430am like a newsagent at 545am like a lorry driver and they ask you when you are getting back to work isnt a mothers life hard leave the soft side to your baby,Beauty & Health
Regal,Romania,Print,only the best star in hollywood,Food & Beverages
JCPenney,United States,TV & Cinema,its all inside,Retail & Distribution
Panasonic,Singapore,Print,nothing defeats toughbook waterresistant shockresistant dustresistant vibrationresistant extreme temperatures resistant,Electronics & Audio-Visual
Alex Viveros,Mexico,Print,character design our characters find strength in the face of adversity,Professional & Public services
,Australia,Print,land cruiser be top of the food chain toyotacomau,Automotive & Services
,Germany,Print,kalashnikov watches,"Apparel, Clothing, Footwear & Accessories"
Penguin Books,China,Outdoor,antony beevors dday the battle for normandy captured in audio,Media & Publishing
Siose,China,Outdoor,where there is smell there is staying away,Beauty & Health
Zonkers,United States,Print,made from real game balls,"Apparel, Clothing, Footwear & Accessories"
,Singapore,TV & Cinema,open on a stunning lake scene with an old man watching nature after some time the old man carries on his journey vo in the quest for wisdomthere are always more mountains behind every mountain this is the first of a series of four nature corporate image spots for the bank of china group broadcasted in singapore the concept behind is based on the theories of zen,Financial & Legal services
,China,Print, either you want for a such karaoke player or you go and buy the tgc with a builtin timer stove caption the song lyrics changed to remind the housewife that the fish is cooked already and its time to turn off the stove,"House, Garden & Pets"
Bula,,Print,im naked without my bula,"Apparel, Clothing, Footwear & Accessories"
Fix Informatics,Brazil,Print,dont let technology et between you and all the fun,Professional & Public services
Crystal Light,Puerto Rico,Print,the calories that you save on a drink could be better invested on a treat,Food & Beverages
Fighting 4 Fitness,United Kingdom,Print,your biggest fight is changing the way you eat,Professional & Public services
,Germany,Print,we call it life,"Apparel, Clothing, Footwear & Accessories"
SKY,Italy,Print,goodbye low definition,Media & Publishing
Groupama,France,Print,if we could insure a road it would be this one,Financial & Legal services
,Belgium,Ambient & Interactive,let us keep on dreaming of a better world,Media & Publishing
,United States,Print,get caught carrying an illegal gun get 3 12 years in prison,Public interest & Non-profit
Fundação SOS Mata Atlântica,Brazil,Print,the devastation of one species devastes others,Public interest & Non-profit
City of Buenos Aires,Argentina,Outdoor,the perfect place to unwind and relax after your trip to buenos aires come to the city that never stops,Transport & Tourism
Mother's Choice,China,Print,maybe you are the one who persuades yourself to have sex,Public interest & Non-profit
Diesel,Spain,Print,only the brave,"Apparel, Clothing, Footwear & Accessories"
Renault,France,Print,you dont become a great professional by chance new renault kangoo the no1 commercial vehicle in europe,Automotive & Services
Mercedes-Benz,Germany,Print,no more frayed passengers,Automotive & Services
Gatorade,Germany,Print,gatorade the power drink,Food & Beverages
Pro Asyl,Germany,Ambient & Interactive,when you get home you can expect a nice evening when asylumseekers get home they can expect death international day of the refugee 2008,Public interest & Non-profit
Akzia,Russia,Print,excessive consumption of beer affects feminity it leads to an increase in facial hair and body odor because of an increase in male hormones,Media & Publishing
Smart,Germany,Print,more space on every street smart fortwo,Automotive & Services
Parmigiano Reggiano,Italy,TV & Cinema,only from our cows,Food & Beverages
Yamaha,Brazil,Print,yamaha oxisanitation your helmet bacteria free,Automotive & Services
Acadomia,France,TV & Cinema,acadomia believe in each childs potential,Public interest & Non-profit
PLN,Indonesia,Print,together light up the spirit of independence happy indonesias  independence day,Industrial & Agricultural
Conaprole,Uruguay,Print,chocolate  mint ice cream and a bit more,Food & Beverages
Sonim,United States,Print,sonim xp3400 armor  watersubmersible just in case,Electronics & Audio-Visual
LANCE!,Brazil,Print,hamburg 1974 no wall berlin 1989 no wall l you see first in sports,Media & Publishing
Pedestrian Council of Australia,Australia,TV & Cinema,a killer is a killer dont drink and drive,Public interest & Non-profit
Art Directors Club,Czech Republic,Print,time to get noticed is being a nobody not your style compete for nutcrackers in new art directors club creative awards categories more info at adcczechcz,Professional & Public services
Taiberg,Germany,Print,thomas edison invented the cat video in 1894 because not only was he a prolific inventor that still holds more than 1093 patents he was also a great connaisseur of the odd foolishness he once strapped a pair of boxing gloves onto the paws of two housecats and had them box it out all captured of course on his newly perfected video camera brilliance needs nonsense nonsense needs taiberg 100 natural brain boosting lemonade,Food & Beverages
Barclays,United Kingdom,Print,helping business turn the corner its important to remain upbeat in a downturn its a chance to reevaluate reinvigorate and even thrive at barclays corporate were helping thousands of businesses prepare for a brighter future to find out how we can help call 0800 014 1921 or visit wwwbarclaysturningthecornercom,Financial & Legal services
,Brazil,Print,keep your employees safe antislip and warning tapes cremer,Industrial & Agricultural
AACD,Brazil,Print,you cant imagine how wonderful going up a couple of stairs can be to someone who can walk again,Public interest & Non-profit
Connect Furniture,Australia,Print,furniture its what separates us from the animals,"House, Garden & Pets"
,China,Print,breast cancer organization reminds you always makes a selfbreast check before sleep,Public interest & Non-profit
Brewin Dolphin,United States,Print,at brewin dolphin we never ever ever rush a conversation with a client because conversation is the way you get to know somebody and at brewin dolphin getting to know our clients is paramount when you really understand someones circumstances their specific wants and needs thats when you can really help them were independently owned we have no inhouse funds to push and our investment managers are free to choose from the whole investment market as are their clients which mean,Financial & Legal services
,New Zealand,Ambient & Interactive,2000 acres of snow yours for free,Transport & Tourism
Museum of Communism,Czech Republic,Print,museum of communism open daily from 9002100,"Culture, Recreation & Sport"
Bayou Adventure,United States,Print,has your kid wiped fish slime on you today,"Culture, Recreation & Sport"
Orbit Books,,TV & Cinema,a good fantasy story is unforgettable,Media & Publishing
Mars,United Kingdom,Print,seven children solve crimes hooray quick reads proudly supported by galaxy quickreadsorguk,Food & Beverages
Axe/Lynx,United States,TV & Cinema,premature perspiration can be controlled,Beauty & Health
